filename,year,season,category,subcategory,description,campaign,photographer,director,producer,production_company,model,stylist,art_director,creative_director,hair,makeup,set_designer,casting_director,agency,publication,issue_date,music,notes
1990_fw_adv_print_fragrance_obsession_001,1990,fw,adv,print,fragrance,obsession,,,,,,,,,,,,,,,,,
1992_ss_adv_print_fragrance_eternity_men_001,1992,ss,adv,print,fragrance,eternity_men,,,,,,,,,,,,,,,,,
1993_fw_adv_print_collection_002,1993,fw,adv,print,collection,,,,,,,,,,,,,,,,,,
1993_fw_adv_print_fragrance_escape_001,1993,fw,adv,print,fragrance,escape,,,,,,,,,,,,,,,,,
1993_fw_adv_print_fragrance_escape_men_001,1993,fw,adv,print,fragrance,escape_men,,,,,,,,,,,,,,,,,
1993_fw_adv_print_fragrance_eternity_001,1993,fw,adv,print,fragrance,eternity,,,,,,,,,,,,,,,,,
1993_fw_adv_print_fragrance_obsession_001,1993,fw,adv,print,fragrance,obsession,,,,,,,,,,,,,,,,,
1993_ss_adv_print_collection_001,1993,ss,adv,print,collection,,,,,,,,,,,,,,,,,,
1993_ss_adv_print_eyewear_001,1993,ss,adv,print,eyewear,,,,,,,,,,,,,,,,,,
1993_ss_adv_print_fragrance_obsession_001,1993,ss,adv,print,fragrance,obsession,,,,,,,,,,,,,,,,,
1994_fw_adv_print_collection_001,1994,fw,adv,print,collection,,,,,,,,,,,,,,,,,,
1994_fw_adv_print_collection_menswear_001,1994,fw,adv,print,collection,menswear,,,,,,,,,,,,,,,,,
1994_fw_adv_print_fragrance_escape_001,1994,fw,adv,print,fragrance,escape,,,,,,,,,,,,,,,,,
1994_fw_adv_print_fragrance_escape_002,1994,fw,adv,print,fragrance,escape,,,,,,,,,,,,,,,,,
1994_ss_adv_print_collection_001,1994,ss,adv,print,collection,,,,,,,,,,,,,,,,,,
1994_ss_adv_print_fragrance_escape_001,1994,ss,adv,print,fragrance,escape,,,,,,,,,,,,,,,,,
1994_ss_adv_print_fragrance_eternity_001,1994,ss,adv,print,fragrance,eternity,,,,,,,,,,,,,,,,,
1994_ss_adv_print_fragrance_eternity_men_001,1994,ss,adv,print,fragrance,eternity_men,,,,,,,,,,,,,,,,,
1995_fw_adv_print_collection_001,1995,fw,adv,print,collection,,,,,,,,,,,,,,,,,,
1995_fw_adv_print_collection_002,1995,fw,adv,print,collection,,,,,,,,,,,,,,,,,,
1995_fw_adv_print_collection_003,1995,fw,adv,print,collection,,,,,,,,,,,,,,,,,,
1995_fw_adv_print_collection_004,1995,fw,adv,print,collection,,,,,,,,,,,,,,,,,,
1995_fw_adv_print_collection_ck_001,1995,fw,adv,print,collection,ck,,,,,,,,,,,,,,,,,
1995_fw_adv_print_eyewear_001,1995,fw,adv,print,eyewear,,,,,,,,,,,,,,,,,,
1995_fw_adv_print_fragrance_eternity_men_001,1995,fw,adv,print,fragrance,eternity_men,,,,,,,,,,,,,,,,,
1995_fw_adv_print_fragrance_one_001,1995,fw,adv,print,fragrance,one,,,,,,,,,,,,,,,,,
1995_adv_print_fragrance_eternity_001,1995,ss,adv,print,fragrance,eternity,,,,,,,,,,,,,,,,,
1995_ss_adv_print_collection_001,1995,ss,adv,print,collection,,,,,,,,,,,,,,,,,,
1995_ss_adv_print_collection_002,1995,ss,adv,print,collection,,,,,,,,,,,,,,,,,,
1995_ss_adv_print_collection_003,1995,ss,adv,print,collection,,,,,,,,,,,,,,,,,,
1995_ss_adv_print_collection_004,1995,ss,adv,print,collection,,,,,,,,,,,,,,,,,,
1995_ss_adv_print_collection_005,1995,ss,adv,print,collection,,,,,,,,,,,,,,,,,,
1995_ss_adv_print_collection_006,1995,ss,adv,print,collection,,,,,,,,,,,,,,,,,,
1995_ss_adv_print_collection_ck_001,1995,ss,adv,print,collection,ck,,,,,,,,,,,,,,,,,
1995_ss_adv_print_collection_ck_002,1995,ss,adv,print,collection,ck,,,,,,,,,,,,,,,,,
1995_ss_adv_print_collection_ck_003,1995,ss,adv,print,collection,ck,,,,,,,,,,,,,,,,,
1995_ss_adv_print_fragrance_escape_001,1995,ss,adv,print,fragrance,escape,,,,,,,,,,,,,,,,,
1995_ss_adv_print_fragrance_obsession_men_001,1995,ss,adv,print,fragrance,obsession_men,,,,,,,,,,,,,,,,,
1996_fw_adv_print_collection_001,1996,fw,adv,print,collection,,,,,,,,,,,,,,,,,,
1996_fw_adv_print_collection_002,1996,fw,adv,print,collection,,,,,,,,,,,,,,,,,,
1996_fw_adv_print_collection_003,1996,fw,adv,print,collection,,,,,,,,,,,,,,,,,,
1996_fw_adv_print_collection_004,1996,fw,adv,print,collection,,,,,,,,,,,,,,,,,,
1996_fw_adv_print_collection_menswear_001,1996,fw,adv,print,collection,menswear,,,,,,,,,,,,,,,,,
1996_fw_adv_print_collection_menswear_002,1996,fw,adv,print,collection,menswear,,,,,,,,,,,,,,,,,
1996_fw_adv_print_fragrance_be_001,1996,fw,adv,print,fragrance,be,,,,,,,,,,,,,,,,,
1996_fw_adv_print_fragrance_be_002,1996,fw,adv,print,fragrance,be,,,,,,,,,,,,,,,,,
1996_fw_adv_print_fragrance_be_003,1996,fw,adv,print,fragrance,be,,,,,,,,,,,,,,,,,
1996_fw_adv_print_fragrance_be_004,1996,fw,adv,print,fragrance,be,,,,,,,,,,,,,,,,,
1996_fw_adv_print_fragrance_be_005,1996,fw,adv,print,fragrance,be,,,,,,,,,,,,,,,,,
1996_fw_adv_print_fragrance_be_006,1996,fw,adv,print,fragrance,be,,,,,,,,,,,,,,,,,
1996_fw_adv_print_fragrance_be_007,1996,fw,adv,print,fragrance,be,,,,,,,,,,,,,,,,,
1996_fw_adv_print_fragrance_be_008,1996,fw,adv,print,fragrance,be,,,,,,,,,,,,,,,,,
1996_fw_adv_print_fragrance_be_009,1996,fw,adv,print,fragrance,be,,,,,,,,,,,,,,,,,
1996_fw_adv_print_fragrance_escape_001,1996,fw,adv,print,fragrance,escape,,,,,,,,,,,,,,,,,
1996_fw_adv_print_fragrance_eternity_men_001,1996,fw,adv,print,fragrance,eternity_men,,,,,,,,,,,,,,,,,
1996_fw_adv_print_fragrance_obsession_001,1996,fw,adv,print,fragrance,obsession,,,,,,,,,,,,,,,,,
1996_fw_adv_print_fragrance_one_001,1996,fw,adv,print,fragrance,one,,,,,,,,,,,,,,,,,
1996_fw_adv_print_fragrance_one_002,1996,fw,adv,print,fragrance,one,,,,,,,,,,,,,,,,,
1996_ss_adv_print_collection_001,1996,ss,adv,print,collection,,,,,,,,,,,,,,,,,,
1996_ss_adv_print_collection_002,1996,ss,adv,print,collection,,,,,,,,,,,,,,,,,,
1996_ss_adv_print_collection_003,1996,ss,adv,print,collection,,,,,,,,,,,,,,,,,,
1996_ss_adv_print_collection_ck_001,1996,ss,adv,print,collection,ck,,,,,,,,,,,,,,,,,
1996_ss_adv_print_collection_ck_002,1996,ss,adv,print,collection,ck,,,,,,,,,,,,,,,,,
1996_ss_adv_print_collection_ck_003,1996,ss,adv,print,collection,ck,,,,,,,,,,,,,,,,,
1996_ss_adv_print_collection_ck_004,1996,ss,adv,print,collection,ck,,,,,,,,,,,,,,,,,
1996_ss_adv_print_collection_ck_005,1996,ss,adv,print,collection,ck,,,,,,,,,,,,,,,,,
1996_ss_adv_print_collection_ck_006,1996,ss,adv,print,collection,ck,,,,,,,,,,,,,,,,,
1996_ss_adv_print_jeans_001,1996,ss,adv,print,jeans,,,,,,,,,,,,,,,,,,
1996_ss_adv_print_underwear_001,1996,ss,adv,print,underwear,,,,,,,,,,,,,,,,,,
1997_fw_adv_print_collection_ck_001,1997,fw,adv,print,collection,ck,,,,,,,,,,,,,,,,,
1997_fw_adv_print_collection_ck_002,1997,fw,adv,print,collection,ck,,,,,,,,,,,,,,,,,
1997_fw_adv_print_collection_ck_003,1997,fw,adv,print,collection,ck,,,,,,,,,,,,,,,,,
1997_fw_adv_print_collection_ck_004,1997,fw,adv,print,collection,ck,,,,,,,,,,,,,,,,,
1997_fw_adv_print_collection_ck_005,1997,fw,adv,print,collection,ck,,,,,,,,,,,,,,,,,
1997_fw_adv_print_eyewear_001,1997,fw,adv,print,eyewear,,,,,,,,,,,,,,,,,,
1997_fw_adv_print_eyewear_002,1997,fw,adv,print,eyewear,,,,,,,,,,,,,,,,,,
1997_fw_adv_print_eyewear_003,1997,fw,adv,print,eyewear,,,,,,,,,,,,,,,,,,
1997_fw_adv_print_eyewear_004,1997,fw,adv,print,eyewear,,,,,,,,,,,,,,,,,,
1997_fw_adv_print_eyewear_005,1997,fw,adv,print,eyewear,,,,,,,,,,,,,,,,,,
1997_fw_adv_print_eyewear_006,1997,fw,adv,print,eyewear,,,,,,,,,,,,,,,,,,
1997_fw_adv_print_fragrance_be_001,1997,fw,adv,print,fragrance,be,,,,,,,,,,,,,,,,,
1997_fw_adv_print_fragrance_escape_001,1997,fw,adv,print,fragrance,escape,,,,,,,,,,,,,,,,,
1997_fw_adv_print_fragrance_escape_men_001,1997,fw,adv,print,fragrance,escape_men,,,,,,,,,,,,,,,,,
1997_fw_adv_print_fragrance_eternity_001,1997,fw,adv,print,fragrance,eternity,,,,,,,,,,,,,,,,,
1997_fw_adv_print_fragrance_one_001,1997,fw,adv,print,fragrance,one,,,,,,,,,,,,,,,,,
1997_fw_adv_print_underwear_001,1997,fw,adv,print,underwear,,,,,,,,,,,,,,,,,,
1997_ss_adv_print_collection_menswear_001,1997,ss,adv,print,collection,menswear,,,,,,,,,,,,,,,,,
1997_ss_adv_print_collection_menswear_002,1997,ss,adv,print,collection,menswear,,,,,,,,,,,,,,,,,
1997_ss_adv_print_collection_menswear_003,1997,ss,adv,print,collection,menswear,,,,,,,,,,,,,,,,,
1997_ss_adv_print_collection_menswear_004,1997,ss,adv,print,collection,menswear,,,,,,,,,,,,,,,,,
1997_ss_adv_print_eyewear_001,1997,ss,adv,print,eyewear,,,,,,,,,,,,,,,,,,
1997_ss_adv_print_fragrance_be_001,1997,ss,adv,print,fragrance,be,,,,,,,,,,,,,,,,,
1997_ss_adv_print_fragrance_eternity_men_001,1997,ss,adv,print,fragrance,eternity_men,,,,,,,,,,,,,,,,,
1997_ss_adv_print_fragrance_obsession_men_001,1997,ss,adv,print,fragrance,obsession_men,,,,,,,,,,,,,,,,,
1997_ss_adv_print_swimwear_001,1997,ss,adv,print,swimwear,,,,,,,,,,,,,,,,,,
1997_ss_adv_print_underwear_001,1997,ss,adv,print,underwear,,,,,,,,,,,,,,,,,,
1997_ss_adv_print_underwear_002,1997,ss,adv,print,underwear,,,,,,,,,,,,,,,,,,
1998_fw_adv_print_collection_001,1998,fw,adv,print,collection,,,,,,,,,,,,,,,,,,
1998_fw_adv_print_collection_002,1998,fw,adv,print,collection,,,,,,,,,,,,,,,,,,
1998_fw_adv_print_collection_003,1998,fw,adv,print,collection,,,,,,,,,,,,,,,,,,
1998_fw_adv_print_collection_004,1998,fw,adv,print,collection,,,,,,,,,,,,,,,,,,
1998_fw_adv_print_collection_ck_001,1998,fw,adv,print,collection,ck,,,,,,,,,,,,,,,,,
1998_fw_adv_print_collection_menswear_001,1998,fw,adv,print,collection,menswear,,,,,,,,,,,,,,,,,
1998_fw_adv_print_eyewear_001,1998,fw,adv,print,eyewear,,,,,,,,,,,,,,,,,,
1998_fw_adv_print_eyewear_002,1998,fw,adv,print,eyewear,,,,,,,,,,,,,,,,,,
1998_fw_adv_print_fragrance_be_001,1998,fw,adv,print,fragrance,be,,,,,,,,,,,,,,,,,
1998_fw_adv_print_fragrance_contradiction_001,1998,fw,adv,print,fragrance,contradiction,,,,,,,,,,,,,,,,,
1998_fw_adv_print_fragrance_contradiction_002,1998,fw,adv,print,fragrance,contradiction,,,,,,,,,,,,,,,,,
1998_fw_adv_print_fragrance_contradiction_men_001,1998,fw,adv,print,fragrance,contradiction_men,,,,,,,,,,,,,,,,,
1998_fw_adv_print_fragrance_contradiction_men_002,1998,fw,adv,print,fragrance,contradiction_men,,,,,,,,,,,,,,,,,
1998_fw_adv_print_fragrance_obsession_001,1998,fw,adv,print,fragrance,obsession,,,,,,,,,,,,,,,,,
1998_fw_adv_print_fragrance_obsession_002,1998,fw,adv,print,fragrance,obsession,,,,,,,,,,,,,,,,,
1998_fw_adv_print_fragrance_one_001,1998,fw,adv,print,fragrance,one,,,,,,,,,,,,,,,,,
1998_ss_adv_print_collection_001,1998,ss,adv,print,collection,,,,,,,,,,,,,,,,,,
1998_ss_adv_print_collection_002,1998,ss,adv,print,collection,,,,,,,,,,,,,,,,,,
1998_ss_adv_print_collection_003,1998,ss,adv,print,collection,,,,,,,,,,,,,,,,,,
1998_ss_adv_print_eyewear_001,1998,ss,adv,print,eyewear,,,,,,,,,,,,,,,,,,
1998_ss_adv_print_fragrance_eternity_men_001,1998,ss,adv,print,fragrance,eternity_men,,,,,,,,,,,,,,,,,
